id,title,genres,description,year
2663,The Social Network Returns 1,Drama,The founding of Facebook and its legal battles. This is part 1 of an extended cinematic universe with new characters and plot twists.,2016
2664,Inception Reimagined 3,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 5 of an extended cinematic universe with new characters and plot twists.,2015
2665,The Social Network Reimagined 7,Drama,The founding of Facebook and its legal battles. This is part 7 of an extended cinematic universe with new characters and plot twists.,1976
2666,La La Land Legacy 5,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 7 of an extended cinematic universe with new characters and plot twists.,2010
2667,Inside Out Reimagined 4,Animation|Family,Emotions guide a young girl's life during a big move. This is part 5 of an extended cinematic universe with new characters and plot twists.,1996
2668,La La Land Genesis 7,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 5 of an extended cinematic universe with new characters and plot twists.,1979
2669,Inception Legacy 3,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 1 of an extended cinematic universe with new characters and plot twists.,2021
2670,Parasite Eclipse 7,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 4 of an extended cinematic universe with new characters and plot twists.,2009
2671,Inception Chronicles 3,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 2 of an extended cinematic universe with new characters and plot twists.,1982
2672,Parasite Returns 4,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 7 of an extended cinematic universe with new characters and plot twists.,2010
2673,The Social Network Rebirth 1,Drama,The founding of Facebook and its legal battles. This is part 3 of an extended cinematic universe with new characters and plot twists.,2022
2674,Parasite Saga 9,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 8 of an extended cinematic universe with new characters and plot twists.,2008
2675,Parasite Saga 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 2 of an extended cinematic universe with new characters and plot twists.,1972
2676,The Green Mile Eclipse 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 2 of an extended cinematic universe with new characters and plot twists.,2002
2677,The Shawshank Redemption Chronicles 1,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 1 of an extended cinematic universe with new characters and plot twists.",1987
2678,Interstellar Odyssey 6,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 8 of an extended cinematic universe with new characters and plot twists.,1983
2679,The Matrix Eclipse 6,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 1 of an extended cinematic universe with new characters and plot twists.,2001
2680,Parasite Reimagined 6,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 9 of an extended cinematic universe with new characters and plot twists.,2005
2681,The Shawshank Redemption Reimagined 8,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 8 of an extended cinematic universe with new characters and plot twists.",1973
2682,The Shawshank Redemption Returns 8,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 7 of an extended cinematic universe with new characters and plot twists.",2014
2683,The Green Mile Chronicles 5,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 2 of an extended cinematic universe with new characters and plot twists.,1976
2684,The Social Network Saga 6,Drama,The founding of Facebook and its legal battles. This is part 9 of an extended cinematic universe with new characters and plot twists.,1997
2685,The Green Mile Genesis 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,2005
2686,La La Land Rebirth 2,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 5 of an extended cinematic universe with new characters and plot twists.,1979
2687,Interstellar Rebirth 9,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 1 of an extended cinematic universe with new characters and plot twists.,1972
2688,Interstellar Saga 7,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 3 of an extended cinematic universe with new characters and plot twists.,1999
2689,The Matrix Reimagined 1,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 5 of an extended cinematic universe with new characters and plot twists.,1978
2690,The Godfather Reimagined 6,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 4 of an extended cinematic universe with new characters and plot twists.,1975
2691,The Shawshank Redemption Genesis 3,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 6 of an extended cinematic universe with new characters and plot twists.",1982
2692,Interstellar Saga 6,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 1 of an extended cinematic universe with new characters and plot twists.,1971
2693,La La Land Returns 2,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 4 of an extended cinematic universe with new characters and plot twists.,1986
2694,The Social Network Uprising 8,Drama,The founding of Facebook and its legal battles. This is part 6 of an extended cinematic universe with new characters and plot twists.,1993
2695,The Green Mile Saga 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 7 of an extended cinematic universe with new characters and plot twists.,2015
2696,Interstellar Genesis 1,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 8 of an extended cinematic universe with new characters and plot twists.,1974
2697,The Green Mile Returns 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 2 of an extended cinematic universe with new characters and plot twists.,1993
2698,Inside Out Rebirth 9,Animation|Family,Emotions guide a young girl's life during a big move. This is part 1 of an extended cinematic universe with new characters and plot twists.,1979
2699,The Matrix Genesis 4,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1975
2700,Inside Out Rebirth 6,Animation|Family,Emotions guide a young girl's life during a big move. This is part 5 of an extended cinematic universe with new characters and plot twists.,2008
2701,Inside Out Chronicles 2,Animation|Family,Emotions guide a young girl's life during a big move. This is part 4 of an extended cinematic universe with new characters and plot twists.,1984
2702,Parasite Legacy 9,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 3 of an extended cinematic universe with new characters and plot twists.,1995
2703,The Social Network Genesis 8,Drama,The founding of Facebook and its legal battles. This is part 1 of an extended cinematic universe with new characters and plot twists.,2000
2704,The Green Mile Uprising 3,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 2 of an extended cinematic universe with new characters and plot twists.,1998
2705,Inception Eclipse 7,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 7 of an extended cinematic universe with new characters and plot twists.,2007
